date,exchange_rate
2/10/2022 00:00,428.665
2/9/2022 00:00,428.05
2/8/2022 00:00,430.6
2/7/2022 00:00,432.25
2/6/2022 00:00,432.25
2/5/2022 00:00,432.25
2/4/2022 00:00,434.9
2/3/2022 00:00,435.15
2/2/2022 00:00,434.55
2/1/2022 00:00,434.7
1/31/2022 00:00,435.15
1/30/2022 00:00,435.151
1/29/2022 00:00,435.152
1/28/2022 00:00,435.74
1/27/2022 00:00,435.7
1/26/2022 00:00,436.15
1/25/2022 00:00,437.025
1/24/2022 00:00,437.05
1/23/2022 00:00,437.051
1/22/2022 00:00,437.052
1/21/2022 00:00,436.84
1/20/2022 00:00,436.65
1/19/2022 00:00,437.05
1/18/2022 00:00,435.95
1/17/2022 00:00,435.965
1/16/2022 00:00,435.966
1/15/2022 00:00,435.967
1/14/2022 00:00,436.25
1/13/2022 00:00,434.95
1/12/2022 00:00,435.575
1/11/2022 00:00,435.45
1/10/2022 00:00,435.451
1/9/2022 00:00,435.452
1/8/2022 00:00,435.453
1/7/2022 00:00,435.454
1/6/2022 00:00,435.455
1/5/2022 00:00,436.35
1/4/2022 00:00,436.351
1/3/2022 00:00,436.352
